06/07/2016 - 05:38:59 PM	Ethan(Joining/Connecting) connected from the server
06/07/2016 - 05:39:05 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:39:14 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:39:21 PM	Ethan(Recruit) used ULX command ' adduser ethan TMod'
06/07/2016 - 05:39:24 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:39:34 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:39:44 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:39:54 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:40:04 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:40:14 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:40:24 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:40:34 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:40:44 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:40:54 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:40:59 PM	Ethan(Recruit) entered 'gm_spawn'
06/07/2016 - 05:40:59 PM	Ethan(Recruit) spawned a 'models/props_c17/FurnitureShelf001b.mdl'
06/07/2016 - 05:41:04 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:41:14 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:41:22 PM	Ethan(Recruit) used ULX command ' noclip'
06/07/2016 - 05:41:23 PM	Ethan(Recruit) used ULX command ' noclip'
06/07/2016 - 05:41:24 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:41:34 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:41:44 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:41:54 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:42:04 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:42:14 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:42:24 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:42:34 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:42:44 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:42:54 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:43:04 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:43:14 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:43:24 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:43:34 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:43:44 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:43:54 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:44:04 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:44:14 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:44:24 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:44:34 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:44:44 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:44:54 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:45:04 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:45:14 PM	Ethan(Recruit) entered 'discs_request'
06/07/2016 - 05:45:24 PM	Ethan(Recruit) entered 'discs_request'
